title,thumb,image,text,video,link,linktext
Sleeping on the Bus,images/SuSleeping.png,images/BusSleepCollage.jpg,"This was a tiring trip, so we often caught some shut eye on the bus and Su was then on hand to catch us sleeping in our most flattering poses. We did catch her once though!",,,
University of Vancouver,images/Whale360.jpg,images/Whale360.jpg,An incredible whale exhibit at UBC Biodiversity Museum,,,
Kai Chan,images/Kai-Chan-Headshot_hi-res-768x512.jpeg,images/FishingHall.png,"We had a series of great talks at UBC, including by Kai Chan",,https://ires.ubc.ca/kai-chan/,Kai's Profile
Imani Centre,images/ImaniCentre.jpeg,images/ImaniCentre.jpeg,The Ismali Centre in Vancouver welcomed us for a meal ,,https://the.ismaili/gb/en/spaces/ismaili-centre-vancouver,The Ismali Centre Website
Sarah McLachlan School of Music,images/SarahMusicSchool.jpg,images/SarahMusicSchool.jpg,"The Sarah McLachlan School of Music is creating barrier free space. Free admission, free food, free transportation, etc.",https://www.youtube.com/watch?v=hfo5MwINq7o,,
Baseball,images/Baseball.jpeg,images/MayorBaseball.jpeg,We went to the baseball with the Mayor! Cracking finish!,,,
Fairmont Hotel,images/Fairmont.jpeg,images/Fairmont.jpeg,"At the Fairmont Hotel Claire and Shane from their team we met talked about the concept of servant leadership. Nicole: They described it as an ""upside down pyramid style leadership. The ""management level"" are at the bottom to provide support to the front line staff who provide the guest experience and do the important work. Their job is to remove obstacles preventing staff from reaching their objectives.""",,https://www.pon.harvard.edu/daily/leadership-skills-daily/servant-leadership-theory/,An article explaining the concept
Golibe's Vertigo,images/golibe.gif,images/golibe.gif,"Gloibe: Courage means to be brave, not to be deterred. As a leader you need to be determined to achieve your vision. You need to be brave. You need to face your fears to achieve your ambitious goals. Walking on the Skywalk at the Colombia Icefields of Alberta during the CSC Conference made me face my fear of heights. I achieved it with the help of my team members. They helped me to be brave.",,,
Dainty's Birthday,images/DaintyBirthday.png,images/DaintyBirthday.png,Dainty's birthday on June 7th was one of two we celebrated during the trip! We have a birthday list so try to remember everyone's birthdays on the WhatsApp group even after the study tour has finished.,,,
"Greg Stewart, President of the Sinclair Group",images/GregLakeland.png,images/GregLakeland.png,"Greg is a third-generation leader of Sinclar He talked about a lot of interesting topics, including how Sinclair tries to be environmentally concious (3 trees planted for every one taken, removing dead lumber can help increase the health of the forest and reduce wildfire risk, excess heat from the Mill is used to warm municipal buildings), how they work with First Nations and how they incorporated AI into their processes.
Nicole: While becoming more efficient for operations, more jobs in the tech side are created as opposed to traditional jobs on the maintenance side. From a labour standpoint, agreed with the method of a hiring freeze when AI was introduced and not re-filling now redundant positions.",,https://sinclar.com/leadership/,A Profile of Greg
Barkerville,images/Barkerville.png,images/BarkervilleGroupShot.jpg,Just the coolest photo ever.,,,
Another Breakdown,images/RaftBreakdown.png,images/RaftBreakdown.png,Amazingly we had another vehicle breakdown requiring a change of motor,,,
Britannia Mine Museum,images/Britannia.jpeg,images/Britannia.jpeg,Britannia Mine Museum was awesome. ,,https://www.britanniaminemuseum.ca/pages/boom,Boom! was an excellent piece of immersive story telling.
Jenna from Squamish,images/Jenna2.png,images/Jenna.jpg,"Kai: A critical component to success is community focused collaboration. There is always a balance that exists between having the right actors at the table who can understand impacts and with the authority to make decisions. I see an inverse relationship between quality decision making and distance to the impacted community. We saw a number of different communities responding to challenges and opportunities in BC.  An example that struck me was in Squamish, where Councillor Jenna Stoner told us how the progressive municipal government was working closely with the province, private organizations, traditional land owners and local residents to drive mutual value to progress the community. An example of this was a collaborative and engaging approach which resulted in mandating all residential developments contain a 15% affordable housing component, addressing a large prevalent issue. This approach could also be seen through the Lakeland Mills community and government engagement to drive more sustainable logging and milling practices. I have felt the frustration of not being consulted in my own work which has led to ineffective project delivery and economic and social implications. Reflecting on this, I have probably erred on the side of over consultation. This has a negative impact on  quality and expediency of decisions and actions. This is going to be something I continue to wrestle with to achieve the best outcome possible You can have a large scale impact by truly understanding the issue at the heart and starting local but it’s very hard to have a meaningful community impact when starting too big and without a deep understanding of the local context. ",,,
Seaforth Highlanders,images/Model_reproduction_of_German_lines.jpg,images/Model_reproduction_of_German_lines.jpg,"Nicole: Vimy Ridge was a battle won by Canadians because all soldiers at every level knew the exact plan and succession planning was clearly communicated in case reporting officer passed away, so they knew who needed to step up to a leadership position.",,,
JZ and UBI,images/JayZ%2B.jpeg,images/JayZ%2B.jpeg,"JZ (Jiaying Zhao) Not the cool rapper, but the professor trying to cool the planet through behavioral change.",,https://www.ted.com/talks/jiaying_zhao_how_to_feng_shui_your_fridge_and_other_happy_climate_hacks,Here's her TED Talk
Vancouver Hospice Society,images/Hospice.jpeg,images/Hospice.jpeg,"Ed: We are a death denying culture (Not death literate) they asked some challenging questions - What does a good death look like?  What makes life worth living? Death is the great equaliser, All we have is time spend it with intention",,,
Sarah McLachlan School of Music,images/SOM-Nicole.jpeg,images/SOM-Nicole.jpeg,The school take 1000 students per year,https://www.youtube.com/watch?v=hfo5MwINq7o,,
Rehearsals for our presentation,images/PracticeInTheHallway.jpg,images/PracticeInTheHallway.jpg,I don't know what the plan was here…,https://www.youtube.com/watch?v=DKVV__rhD_o,,
Party time!,images/InsideGroupShot.jpg,images/StepsPhoto.jpg,All dressed up!,,,
Our Bus Journey,images/BusTimelapse.jpg,images/BusTimelapse.jpg,Our journey through the mountains on the bus along the Trans Canada Highway.,https://www.youtube.com/watch?v=WU9tZMkweX0,,
Dinner in Jasper,images/JasperDinner.jpg,images/JasperDinner.jpg,"Muhammed: During the dinner with Todd, Greg the Fire Chief,/a> and other Jasper community leaders, we gained valuable insights into forest wildfire management (from Landon Shepherd, a fire and vegetation specialist with Parks Canada) and the importance of community engagement. Todd's team's dedication and commitment to protecting the wilderness while actively involving the local community were truly inspiring. Their stories reminded us of the power of collaboration and the positive impact it can have on both nature and society after making Jasper home 25-30 years ago. Additionally, I was captivated by those who came to Jasper for holidays and ended up staying indefinitely. This exemplified the profound effect that a place like Jasper can have on people, drawing them in with its charm and creating a deep sense of belonging.
Kai: Not enough is being done in Jasper to drive diversity, opportunities, change. Pale male and stale ",,https://www.gg.ca/en/gregory-c-van-tighem-msm,Some more about Greg the Fire Chief
"Fred, Our Bus Driver",images/Fred.png,images/Fred.gif,Fred our driver has been an indefatigable powerhouse throughout the trip putting in long hours in strange places while remaining upbeat,,,
Heating in Prince George,images/Socks.jpeg,images/SimonYu.jpg,"We met the Mayor of Prince George, Simon Yu. who has had a fascinating journey from his birthplace in Hong Kong. He showed us the heating facility that uses the waste heat from the sawmill kiln, itself powered by waste sawdust, to heat 13 of the government buildings in their community. The tangible success of this pilot is being used to inspire and drive expansion. He also gave us some Prince George branded socks with the town's slightly terrifying mascot on them.",,https://johnabrink.com/on-the-brink-mayor-simon-yu-episode-109,Watch an interview with Mayor Yu here where discusses his story and some of the challenges Prince George faces
Mike and Cheryl's Drum Circle in Barkerville,images/MikeAndSherylDrum.jpeg,images/Drum.png,"The drum circle in Barkerville was a wonderful experience. When we did the first one, I loved to learn that it orginally evolved as a practical way to scare off bears (Many community building traditions we encountered had practical roots), but after hearing Mike and Sheryl's emotional stories about the hardships their community had faced in previous generations and their own the final drum circle we did before we left took on a deeper emotional signifcance.",https://www.youtube.com/watch?v=jYN_4oJdJpw,,
